Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
aussehen-women-s-solid-casual-shirt,Aussehen Women's Solid Casual Shirt,Aussehen Women's Solid Casual Shirt - Buy Royal Blue Aussehen Women's Solid Casual Shirt For Only CAD $21.12 Online in Canada. Shop Online For Apparels. Huge Collection of Branded Clothes Only at bundl.it,Regular Fit,Clothing,Clothing,TRUE,Number of Contents in Sales Package,Pack of 1,Pattern,Solid,Type,Sleeveless,,100,shopify,50,deny,manual,8.78,21.12,TRUE,TRUE,,http://img6a.flixcart.com/image/shirt/n/a/g/5146b-aussehen-m-original-imae524qppvrhm5f.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
cutecumber-girl-s-high-low-dress,Cutecumber Girl's High Low Dress,"Specifications of Cutecumber Girl's High Low Dress In The Box 1 Dress Dimensions Length Midi/Knee Length General Details Pattern Embellished Occasion Party Ideal For Girl's Dress Details Sleeve Sleeveless Number of Contents in Sales Package Pack of 1 Belt Included Yes Fabric Net Type High Low Neck Round Neck Fabric Care Hand Wash, Dry Clean",Cutecumber,Clothing,Clothing,TRUE,Number of Contents in Sales Package,Pack of 1,Pattern,Embellished,Type,High Low,,100,shopify,50,deny,manual,33.35,33.35,TRUE,TRUE,,http://img5a.flixcart.com/image/dress/j/g/u/1630d-brown-cutecumber-11-12-years-original-imaegh25ygxgr2xs.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
adroitz-sharkantennawhite604-amplited-glass-mount-antenna-shark-design-white-maruti-star-satellite-vehicle,AdroitZ sharkantennawhite604 Amplited Glass Mount Antenna shark design White For Maruti A Star Satellite Vehicle Antenna,"Key Features of AdroitZ sharkantennawhite604 Amplited Glass Mount Antenna shark design White For Maruti A Star Satellite Vehicle Antenna 100% New Brand Stylish Look Easy To Use,AdroitZ sharkantennawhite604 Amplited Glass Mount Antenna shark design White For Maruti A Star Satellite Vehicle Antenna Price: CAD $10.54 AdroitZ Presents Stylish Antenna Features : * Convenient to paste with double-faced glue on ceiling, reserve box, backdoor and so on. * Stylish streamline body gives the car an exclusive look. * This fashionable antenna is made of Plastic with color painted. * Paste it on the car roof or above the trunk with double sided tape. * This antenna is only for decoration purpose.,Specifications of AdroitZ sharkantennawhite604 Amplited Glass Mount Antenna shark design White For Maruti A Star Satellite Vehicle Antenna General Brand AdroitZ Type Satellite Vehicle Antenna Swivel Base Yes Material Plastic Style Shark Fin Aerial Electronic Auto Control Yes Color Black Magnetic Yes Suitable For Roof Model Number sharkantennawhite604 Wireless Yes Model Name Amplited Glass Mount Antenna shark design White For Maruti A Star Bandwidth AM, FM In the Box Sales Package 1 Vehical Antenna",AdroitZ,Automotive,Automotive,TRUE,Color,Black,Material,Plastic,Type,Satellite Vehicle Antenna,,100,shopify,50,deny,manual,4.38,10.54,TRUE,TRUE,,http://img5a.flixcart.com/image/vehicle-antenna/m/e/x/sharkantennawhite612-adroitz-1100x1100-imaeeg6hrevkgghn.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
fabpoppy-women-s-multicolor-capri,Fabpoppy Women's Multicolor Capri,Specifications of Fabpoppy Women's Multicolor Capri Capri Details Number of Contents in Sales Package Pack of 1 Fabric Cotton Fit Regular General Details Pattern Printed Ideal For Women's,Fabpoppy,Clothing,Clothing,TRUE,Fit,Regular,Number of Contents in Sales Package,Pack of 1,Pattern,Printed,,100,shopify,50,deny,manual,7.02,15.82,TRUE,TRUE,,http://img6a.flixcart.com/image/capri/r/x/k/f3646-fabpoppy-m-original-imaejchh9kwha5wk.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
shopmania-designer-notebook-a5-spiral-bound,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound,"Key Features of SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound wiro diary,SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound (Multicolor) Price: CAD $8.78 Shopmania unveils amazing single line ruled Notebooks having high-quality paper, Super Fine Digitally Printed Cover with Matte Lamination. Shopmania Notebooks are scratch-resistant and stain-proof. They are extremely smooth and soft in touch. Indeed, they are made for prestigious use while attending your Seminars, Conferences, Meetings or your daily routine works to note the Important Points in detail. The paper quality is such that it's fit for usage in all types of ballpoint pens, fountain pens, or marker pens. Stationery was never such a personalized feeling before! Get an exclusive Notebook from the house of Shopmania. These notebooks are crafted for those who want to flaunt their favorite designs and show their Attitude to others. So Cheers now and Indulge in these note books to make your writing experience even more exciting and inspiring. Dimensions: 9x6 Inches (A5 Size),Specifications of SHOPMANIA DESIGNER NOTEBOOK A5 Notebook Spiral Bound (Multicolor) General Ruling RULED Model id SMNOTEBOOK982 GSM 75 Type Notebook No. of Pages 160 Cover Type 300 Gsm laminated hard cover Brand Name SHOPMANIA Binding Spiral Bound Size A5 Color Multicolor Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad, Diary, Writing pad In the Box Sales Package 1 NOTEBOOK",SHOPMANIA,Pens & Stationery,Pens & Stationery,TRUE,Color,Multicolor,Size,A5,Type,Notebook,,100,shopify,50,deny,manual,3.96,8.78,TRUE,TRUE,,http://img6a.flixcart.com/image/diary-notebook/q/t/n/shopmania-smnotebook982-1100x1100-imaejr4phcruehmp.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
shopmania-designer-notebook-a5-spiral-bound,,,,,,,Color,Multicolor,Size,A5,Type,Notebook,DIAEJUCEZNKKK4FK,100,shopify,50,deny,manual,3.96,8.78,TRUE,TRUE,,http://img6a.flixcart.com/image/diary-notebook/4/f/k/shopmania-smnotebook854-1100x1100-imaejr4pfbegk7gq.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
shopmania-designer-notebook-a5-spiral-bound,,,,,,,Color,Multicolor,Size,A5,Type,Notebook,DIAEJUCFZTY2VHUP,100,shopify,50,deny,manual,3.96,8.78,TRUE,TRUE,,http://img6a.flixcart.com/image/diary-notebook/h/u/p/shopmania-smnotebook260-1100x1100-imaejr4zwjv6mfks.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
shopmania-designer-notebook-a5-spiral-bound,,,,,,,Color,Multicolor,Size,A5,Type,Notebook,DIAEJUCEEG8XUYZF,100,shopify,50,deny,manual,3.96,8.78,TRUE,TRUE,,http://img5a.flixcart.com/image/diary-notebook/y/z/f/shopmania-smnotebook640-1100x1100-imaejr4pwgx3zzjw.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
little-frog-men-sandals,Little Frog Men Sandals,Specifications of Little Frog Men Sandals General Occasion Party Ideal For Men Sandal Details Weight 450 g (per single Sandal) - Weight of the product may vary depending on size. Heel Height 2 inch Outer Material Leather Color TAN,Little Frog,Footwear,Footwear,TRUE,Color,TAN,,,,,,100,shopify,50,deny,manual,23.58,40.39,TRUE,TRUE,,http://img5a.flixcart.com/image/sandal/6/y/z/tan-7201-little-frog-42-original-imaefgutv3nh85e3.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
v3squared-v-neck-solid-men-s-pullover,V3Squared V-neck Solid Men's Pullover,"Key Features of V3Squared V-neck Solid Men's Pullover Fabric: cotton Suitable For: Western Wear,Specifications of V3Squared V-neck Solid Men's Pullover Pullover Details Sleeve Full Sleeve Fabric cotton Neck V-neck General Details Pattern Solid Ideal For Men's Fabric Care Dry in Shade, Do Not Bleach, Machine Wash Warm at 40°C Additional Details Style Code Hooded T-Shirt_005",V3Squared,Clothing,Clothing,TRUE,Pattern,Solid,,,,,,100,shopify,50,deny,manual,7.48,22.86,TRUE,TRUE,,http://img5a.flixcart.com/image/pullover/r/p/w/hooded-t-shirt-005-v3squared-xxl-original-imaehf77hqazgss7.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
v3squared-v-neck-solid-men-s-pullover,,,,,,,Pattern,Solid,,,,,PLOEHFBQFWFBMGYE,100,shopify,50,deny,manual,7.48,22.86,TRUE,TRUE,,http://img5a.flixcart.com/image/pullover/s/c/a/full-sleeve-strips-henly-006-v3squared-xxl-original-imaehf7dwrzhcvvp.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
rs-electrical-rs-8500-top-filter-3-1-more-function-power-aquarium,Rs Electrical RS-8500 Top Filter 3 in 1 More Function Power Aquarium Filter,"Specifications of Rs Electrical RS-8500 Top Filter 3 in 1 More Function Power Aquarium Filter (Mechanical Filtration for Salt Water and Fresh Water) In the Box Pack of 1 Sales Package RS-8500 Top Filter - Aquarium 3 in 1 More Function General Brand Rs Electrical Model Number RS-8500 Type Power Filtration Type Mechanical Suitable For Salt Water and Fresh Water Suitable Water Volume 850 L Filtration Accuracy 98 Filtering Area 0 sq. cm Filter Circulation 2000 L/hr Pump Included No Model Name RS-8500 Top Filter 3 in 1 More Function Material Plastic, Electronics, Metal components Pump Output 2000 L/hr Additional Features Energy saving, High efficiency, Easily operated, Safe and quite motor, (Put some bio-sponge) make water inside aquarium clearer, Low noise, easily operated, suitable for aquariums, fountains and other decorative projects. Dimensions Width 9 Weight 700",Rs Electrical,Pet Supplies,Pet Supplies,TRUE,Material,"Plastic, Electronics, Metal components",Pack of,1,Type,Power,,100,shopify,50,deny,manual,12.28,26.93,TRUE,TRUE,,http://img6a.flixcart.com/image/aquarium-filter/g/a/f/rs-8500-rs-electrical-1100x1100-imaef4paghzkhmhz.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
jake-chiramel-men-s-solid-formal-shirt,Jake Chiramel Men's Solid Formal Shirt,Jake Chiramel Men's Solid Formal Shirt - Buy Purple Jake Chiramel Men's Solid Formal Shirt For Only CAD $22.83 Online in Canada. Shop Online For Apparels. Huge Collection of Branded Clothes Only at bundl.it,Regular,Clothing,Clothing,TRUE,Fit,Regular,Number of Contents in Sales Package,Pack of 1,Pattern,Solid,,100,shopify,50,deny,manual,16.32,22.83,TRUE,TRUE,,http://img6a.flixcart.com/image/shirt/s/k/c/jcfs-135-jake-chiramel-m-original-imaebwzydhhsexyp.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
allure-auto-cm-1215-car-mat-maruti-gypsy,Allure Auto CM 1215 Car Mat Maruti Gypsy,Buy Allure Auto CM 1215 Car Mat Maruti Gypsy for CAD $86.24 online. Allure Auto CM 1215 Car Mat Maruti Gypsy at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Allure Auto,Automotive,Automotive,TRUE,Color,Grey,Material,Rubber,Type,Floor Mat,,100,shopify,50,deny,manual,28.14,86.24,TRUE,TRUE,,http://img5a.flixcart.com/image/car-mat/z/z/9/skoda-rapid-anti-slip-noodle-car-floor-mats-set-of-5-grey-allure-1100x1100-imaecjxhbzaqrmge.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
fashionzaadi-hollow-out-alloy-necklace,Fashionzaadi Hollow Out Alloy Necklace,Fashionzaadi Hollow Out Alloy Necklace - Buy Fashionzaadi Hollow Out Alloy Necklace only for CAD $12.30 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Fashionzaadi,Jewellery,Jewellery,TRUE,Color,White,Type,Necklace,,,,100,shopify,50,deny,manual,5.26,12.3,TRUE,TRUE,,http://img6a.flixcart.com/image/necklace-chain/m/g/z/hollow-out-fashionzaadi-necklace-1100x1100-imae6xsuwhqxg6tj.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
ciemme-0-11-ct-women-s-designer-circle-flower-promise-yellow-gold-diamond-18-k-ring,Ciemme 0.11 CT Women's Designer Circle Flower Promise Yellow Gold Diamond 18 K Ring,"Ciemme 0.11 CT Women's Designer Circle Flower Promise Yellow Gold Diamond 18 K Ring
                         Price: CAD $201.61
				
			The floral swirl design gives the ring a chic modern personality. The swirl is characterized into a floral design, filled with delicate spokes and bordered with sparkling pronged diamonds.
The floral swirl design gives the ring a chic modern personality. The swirl is characterized into a floral design, filled with delicate spokes and bordered with sparkling pronged diamonds.",Ciemme,Jewellery,Jewellery,TRUE,Color,Yellow,Pack of,1,Type,Ring,,100,shopify,50,deny,manual,191.49,201.61,TRUE,TRUE,,http://img5a.flixcart.com/image/ring/h/8/u/bar3119-cz-y-12-12-ciemme-ring-original-imae9kbq9yxgrt8h.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
viha-cotton-embroidered-semi-stitched-salwar-suit-dupatta-material,VIHA Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material,"Key Features of VIHA Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material Ethnic Wear Salwar Suit Attractive Regular fit,VIHA Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material (Semi-stitched) Price: CAD $52.78 Viha Exclusive Desginer Salwar Suit Dress Material. Crafted out of premimum qaulity fabric, this dress is light in weight and soft to touch as well. Fabric Details:: Top - Cotton(3 mtr), Bottom - Santoon(2.2 mtr), Dupatta - Nazneen(2.25 mtr). Wash care:: Machine Wash/Hand Wash.,Specifications of VIHA Cotton Embroidered Semi-stitched Salwar Suit Dupatta Material (Semi-stitched) Fabric Details Fabric Cotton Type Semi-stitched Salwar Suit Dupatta Material General Details Pattern Embroidered Ideal For Women's Color Grey, White Fabric Care Machine Wash/Hand Wash Additional Details Other Details Top - Cotton, Bottam - Santoon, Dupatta - Nazneen Style Code WT_AYSH_Grey_F01 In the Box 1 Top, 1 Bottom, 1 Dupatta",VIHA,Clothing,Clothing,TRUE,Color,"Grey, White",Pattern,Embroidered,Type,Semi-stitched Salwar Suit Dupatta Material,,100,shopify,50,deny,manual,16.7,52.78,TRUE,TRUE,,http://img6a.flixcart.com/image/fabric/9/n/s/wt-aysh-grey-f01-viha-original-imaejkbdq5hkcppj.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
lujo-sleeve-apple-ipad-2-3-4,Lujo Sleeve for Apple iPad 2 / 3 / 4,Buy Lujo Sleeve for Apple iPad 2 / 3 / 4 only for CAD $26.40 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Lujo,Mobiles & Accessories,Mobiles & Accessories,TRUE,Color,Red,Material,Leather,,,,100,shopify,50,deny,manual,21.12,26.4,TRUE,TRUE,,http://img5a.flixcart.com/image/cases-covers/sleeve/s/j/s/lujo-kad-902-original-imaecadq7cfnppsy.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
iesd-bone-necklace,IESD Bone Necklace,IESD Bone Necklace - Buy IESD Bone Necklace only for CAD $4.40 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,IESD,Jewellery,Jewellery,TRUE,Color,Multicolor,Type,Necklace,,,,100,shopify,50,deny,manual,3.5,4.4,TRUE,TRUE,,http://img5a.flixcart.com/image/necklace-chain/w/h/w/jew026-iesd-necklace-1100x1100-imae4pr49rtr6jqg.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
iesd-bone-necklace,,,,,,,Color,Multicolor,Type,Necklace,,,NKCE52CSRGDGC4NH,100,shopify,50,deny,manual,2.97,3.52,TRUE,TRUE,,http://img5a.flixcart.com/image/necklace-chain/4/n/h/jew018-iesd-necklace-1100x1100-imae4pqynksw9qbg.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
zippy-printed-boy-s-round-neck-multicolor-t-shirt,Zippy Printed Boy's Round Neck Multicolor T-Shirt,"Key Features of Zippy Printed Boy's Round Neck Multicolor T-Shirt Fit: Regular Fit Suitable For: Western Wear Sleeve: Half Sleeve Fabric: Cotton Fine Color:Multicolor,Zippy Printed Boy's Round Neck Multicolor T-Shirt (Pack of 4) Price: CAD $12.50 Our ZIPPY Boy's tshirts make you stylish and comfy at all day long.Worn our tshirts with your favourite bottoms will make your appearance as trendy as ever in your favourite environment.,Specifications of Zippy Printed Boy's Round Neck Multicolor T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric Cotton Fine Type Round Neck Fit Regular General Details Pattern Printed Occasion Casual Ideal For Boy's In the Box 4 T shirt Additional Details Style Code ZI-04PACK-HACKER-19-RDSBUGRBL Fabric Care Gentle Wash",Zippy,Clothing,Clothing,TRUE,Fit,Regular,Number of Contents in Sales Package,Pack of 4,Type,Round Neck,,100,shopify,50,deny,manual,10.74,12.5,TRUE,TRUE,,http://img6a.flixcart.com/image/t-shirt/g/8/h/zi-04pack-hacker-19-rdsbugrbl-zippy-11-12-years-original-imaegujtvvbegqbe.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
indian-charm-glass-metal-necklace,"Indian Charm Glass, Metal Necklace","Canadan Charm Glass, Metal Necklace - Buy Canadan Charm Glass, Metal Necklace only for CAD $8.18 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!",Indian Charm,Jewellery,Jewellery,TRUE,Color,Multicolor,Pack of,1,Type,Necklace,,100,shopify,50,deny,manual,7.37,8.18,TRUE,TRUE,,http://img6a.flixcart.com/image/necklace-chain/p/v/k/ih1392-indian-charm-necklace-original-imae8r872hzjz48m.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
indian-charm-glass-metal-necklace,,,,,,,Color,Brown,Pack of,1,Type,Necklace,NKCE8RB5ABRB9QY5,100,shopify,50,deny,manual,7.37,8.18,TRUE,TRUE,,http://img5a.flixcart.com/image/necklace-chain/q/y/5/ih1132-indian-charm-necklace-original-imae8r87ghtpdrhk.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
rega-hp-pavilion-dv6-6080sf-dv6-6081ei-12-cell-laptop-battery,Rega IT Hp Pavilion DV6-6080SF DV6-6081EI 12 Cell 12 Cell Laptop Battery,Buy Rega IT Hp Pavilion DV6-6080SF DV6-6081EI 12 Cell 12 Cell Laptop Battery only for CAD $87.98 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Rega IT,Computers,Computers,TRUE,Color,Black,,,,,,100,shopify,50,deny,manual,43.98,87.98,TRUE,TRUE,,http://img5a.flixcart.com/image/laptop-battery/f/n/7/rega-it-hp-pavilion-dv6-3020us-dv6-3021ee-12-cell-original-imadxgdtwzdbpyvz.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
