Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
stop-start-shoppers-women-s-self-design-casual-formal-shirt,"Stop To Start by Shoppers Stop Women's Self Design Casual, Formal Shirt","Stop To Start by Shoppers Stop Women's Self Design Casual, Formal Shirt - Buy Grey Stop To Start by Shoppers Stop Women's Self Design Casual, Formal Shirt For Only CAD $14.06 Online in Canada. Shop Online For Apparels. Huge Collection of Branded Clothes Only at bundl.it","Regular","Clothing","Clothing",TRUE,Fit,"Regular",Number of Contents in Sales Package,"Pack of 1",Pattern,"Self Design",,100,shopify,50,deny,manual,8.43,14.06,TRUE,TRUE,,http://img5a.flixcart.com/image/shirt/e/3/7/9140946-9212-stop-to-start-xl-original-imae6n4gnyvfswtz.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
aakrati-brass-sculpture-metal-handicrafts-gift-showpiece-17-78-cm,"Aakrati Brass Sculpture Metal Handicrafts Gift Showpiece  -  17.78 cm","Buy Aakrati Brass Sculpture Metal Handicrafts Gift Showpiece  -  17.78 cm for CAD $93.26 online. Aakrati Brass Sculpture Metal Handicrafts Gift Showpiece  -  17.78 cm at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","Aakrati","Home Decor & Festive Needs","Home Decor & Festive Needs",TRUE,Color,"Brown",Material,"Brass",Type,"Human Figurines",,100,shopify,50,deny,manual,45.74,93.26,TRUE,TRUE,,http://img5a.flixcart.com/image/showpiece-figurine/c/6/h/aa2640al-aakrati-original-imae8pupsagvmkub.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
blm-casual-printed-women-s-kurti,"BLM Casual Printed Women's Kurti","Key Features of BLM Casual Printed Women's Kurti 3/4 Sleeve Orange,Specifications of BLM Casual Printed Women's Kurti In The Box 1Kurti Kurti Details Sleeve 3/4 Sleeve Region Rajasthan Number of Contents in Sales Package Pack of 1 Fabric Cotton Neck v neck General Details Pattern Printed Ideal For Women's Occasion Casual Fabric Care Wash with Similar Colors, Use Detergent for Colors","BLM","BLM Casual Printed Women's Kurti",,TRUE,Number of Contents in Sales Package,"Pack of 1",Pattern,"Printed",,,,100,shopify,50,deny,manual,10.54,15.82,TRUE,TRUE,,http://img6a.flixcart.com/image/kurti/4/b/9/kc1030-blm-xxl-1000x1000-imae54bbgefbamdx.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
hrx-hrithik-roshan-skinny-fit-women-s-blue-jeans,"HRX by Hrithik Roshan Skinny Fit Women's Blue Jeans","Specifications of HRX by Hrithik Roshan Skinny Fit Women's Blue Jeans Jeans Details Brand Color Blue Number of Contents in Sales Package Pack of 1 Brand Fit Skinny Fabric 98% cotton, 2% elastane General Details Ideal For Women's Fabric Care Machine-wash cold Additional Details Style Code 1155896","HRX by Hrithik Roshan","Clothing","Clothing",TRUE,Number of Contents in Sales Package,"Pack of 1",,,,,,100,shopify,50,deny,manual,24.62,35.18,TRUE,TRUE,,http://img5a.flixcart.com/image/jean/k/c/z/1155896-hrx-by-hrithik-roshan-36-original-imaegefyuqjzccfn.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
hrx-hrithik-roshan-skinny-fit-women-s-blue-jeans,,,,,,,Number of Contents in Sales Package,"Pack of 1",,,,,JEAEGE5FAM35DZFD,100,shopify,50,deny,manual,24.62,35.18,TRUE,TRUE,,http://img5a.flixcart.com/image/jean/e/e/g/1155899-hrx-by-hrithik-roshan-32-original-imaegefyegkg2mnz.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
allure-auto-sur-4618-car-mat-volkswagen-vento,"Allure Auto sur-4618 Car Mat Volkswagen Vento","Buy Allure Auto sur-4618 Car Mat Volkswagen Vento for CAD $65.10 online. Allure Auto sur-4618 Car Mat Volkswagen Vento at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","Allure Auto","Automotive","Automotive",TRUE,Color,"Beige",Material,"PVC",Type,"Floor Mat",,100,shopify,50,deny,manual,26.38,65.1,TRUE,TRUE,,http://img6a.flixcart.com/image/car-mat/y/s/c/tata-safari-beige-premium-3d-foot-mat-car-mat-allure-auto-sur-1100x1100-imaecuxyjyzyvnjq.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
allure-auto-cm-1437-car-mat-fiat-linea,"Allure Auto CM 1437 Car Mat Fiat Linea","Buy Allure Auto CM 1437 Car Mat Fiat Linea for CAD $86.24 online. Allure Auto CM 1437 Car Mat Fiat Linea at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","Allure Auto","Automotive","Automotive",TRUE,Color,"Green",Material,"Rubber",Type,"Floor Mat",,100,shopify,50,deny,manual,28.14,86.24,TRUE,TRUE,,http://img5a.flixcart.com/image/car-mat/m/z/f/mahindra-scorpio-anti-slip-noodle-car-floor-mats-set-of-5-green-1100x1100-imaecjxhhkhuzvak.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
egon-7512-tm-p-faucet-set,"EGON 7512_TM_P Faucet Set","Key Features of EGON 7512_TM_P Faucet Set Wash Basin,EGON 7512_TM_P Faucet Set Price: CAD $123.11 Tired of the grime due to oily dishes in the kitchen basin? Do you have to get water from the bathroom geyser or kettle to wash your dishes? Is the bathroom basin water too cold to brush teeth or wash your face in the morning? No more stress!! Room Groom instant hot water tap is here! This instant water heater tap has an in-built heater which means that you won't need a geyser to get your hot water. This tap can be used in the kitchen or wash basins only. Cannot be used as a shower. This is something that is really useful and great to have at home. It is easy to use, looks classy and saves time.,Specifications of EGON 7512_TM_P Faucet Set General Brand EGON Suitable For Sink, Basin Installation Type Deck Mount Installation Type Model Number 7512_TM_P Material Plastic Finish Polished Color White Dimensions Weight 1000 g Height 23 cm Width 6 cm Additional Features Cannot use as shower In the Box 1 Faucet","EGON","Home Improvement","Home Improvement",TRUE,Color,"White",Material,"Plastic",,,,100,shopify,50,deny,manual,123.11,123.11,TRUE,TRUE,,http://img5a.flixcart.com/image/faucet-set/s/q/f/7512-tm-p-egon-1100x1100-imaeg7ktdvcd5fgm.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
inmark-men-s-solid-formal-shirt,"Inmark Men's Solid Formal Shirt","Inmark Men's Solid Formal Shirt                         Price: CAD $14.06       Put a contemporary spin on your formal looks with this collared shirt. In a fail-safe shade, this style is crafted from breathable fabric that has a contrast button placket to further the effortless aesthetic. Cut for a slim fit and finished with buttoned cuffs, it's an ideal day-to-dinner style.:: Poly Cotton:: Slim fit:: Spread collar with button placket:: Full sleeves with buttoned cuffs:: 1 Chest pocket:: Model is wearing size M.Did you know?The wet strength of cotton is 20% higher than its dry strength!Put a contemporary spin on your formal looks with this collared shirt. In a fail-safe shade, this style is crafted from breathable fabric that has a contrast button placket to further the effortless aesthetic. Cut for a slim fit and finished with buttoned cuffs, it's an ideal day-to-dinner style.:: Poly Cotton:: Slim fit:: Spread collar with button placket:: Full sleeves with buttoned cuffs:: 1 Chest pocket:: Model is wearing size M.Did you know?The wet strength of cotton is 20% higher than its dry strength!","Slim","Clothing","Clothing",TRUE,Fit,"Slim",Number of Contents in Sales Package,"Pack of 1",Pattern,"Solid",,100,shopify,50,deny,manual,14.06,14.06,TRUE,TRUE,,http://img5a.flixcart.com/image/shirt/g/v/y/insh000210a-black-f-inmark-44-original-imae749fvzugrxnh.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
denim-86-slim-fit-men-s-jeans,"Denim 86 Slim Fit Men's Jeans","Key Features of Denim 86 Slim Fit Men's Jeans Rise: Mid Rise Color: Multicolor Fit: Slim,Denim 86 Slim Fit Men's Jeans Price: CAD $33.42 Get ready to make heads turn your way with this pair Denim86. These jeans from ksan have been designed to give you comfort all day long and will make you stand out definitely. Dyed to give you an authentic vintage feel and not to mention, its versatility and comfort will make it one of your favourites. Made from top quality fabric, ksan jeans are among the must have essentials of your wardrobe.,Specifications of Denim 86 Slim Fit Men's Jeans Jeans Details Number of Contents in Sales Package Pack of 2 Brand Fit Slim Fabric Denim Rise Mid Rise General Details Pattern Solid Ideal For Men's Additional Details Style Code J-D86-16-29 Fabric Care Cotton Blend In the Box 2 Jean","Denim 86","Clothing","Clothing",TRUE,Number of Contents in Sales Package,"Pack of 2",Pattern,"Solid",,,,100,shopify,50,deny,manual,18.64,33.42,TRUE,TRUE,,http://img6a.flixcart.com/image/jean/k/t/4/j-d86-16-29-denim-86-36-1000x1000-imaegukhfbngf3f3.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
itiha-home-liquid-air-freshener,"Itiha Home Liquid Air Freshener","Key Features of Itiha Home Liquid Air Freshener Citronella Essential OIL(10ml) extracted  from Cymbopogon genus plant family , primarily through steam distillation Eucalyptus essential oil is obtained from fresh leaves of the tall, evergreen eucalyptus tree Used in Potpourri Used in Diffuser,Itiha Home Liquid Air Freshener (20 ml) Price: CAD $13.18 Citronella essential oil is obtained from the Cymbopogon genus plant family through steam distillation process. It comes in a 10 ml bottle. Citronella Essential Oil can be attributed to its properties as an antibacterial, antidepressant, antiseptic, antispasmodic, anti-inflammatory, deodorant, diaphoretic, diuretic, febrifuge, fungicidal, insect repellent, stomachic, stimulant, tonic and vermifuge substance.Eucalyptus essential oil is obtained from fresh leaves of the tall, evergreen eucalyptus tree. Comes in a 10 ml bottle. Eucalyptus essential oil is effective for treating a number of respiratory problems including cold, cough, runny nose, sore throat, asthma, nasal congestion, bronchitis and sinusitis.Eucalyptus oil, a stimulant, removes exhaustion and mental sluggishness and rejuvenates the spirits of the sick.Pour few drops of Oil in a potpourri or add a few drops of oil in water and use it in a diffuser to experience a heavenly fragrance.These Oils come with 2 Pouches Non-Fragrant Potpourri (50 gms ),Specifications of Itiha Home Liquid Air Freshener (20 ml) General Brand Itiha Quantity 20 ml Fragrance Citronella, Eucalyptus/Nilgiri Model ID 01 Color Multicolour Dimensions Weight 300 g In the Box Number of Contents in Sales Package Pack of 4 Sales Package 1 Citronella Essential Oil(10ml), 1 Eucalyptus Essential Oil(10ml), 2 Potpourri Pouches (50 gms each)","Itiha","Home Decor & Festive Needs","Home Decor & Festive Needs",TRUE,Color,"Multicolour",Number of Contents in Sales Package,"Pack of 4",,,,100,shopify,50,deny,manual,7.02,13.18,TRUE,TRUE,,http://img5a.flixcart.com/image/air-freshener/a/r/y/01-liquid-itiha-20-set-of-2-potpourri-oil-combo-original-imaegyexch5hzhd9.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
3a-autocare-car-mat-hyundai-santro,"3a AUTOCARE Car Mat Hyundai Santro","Buy 3a AUTOCARE Car Mat Hyundai Santro for CAD $39.60 online. 3a AUTOCARE Car Mat Hyundai Santro at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","3a AUTOCARE","Automotive","Automotive",TRUE,Color,"Beige",Material,"Microfibre",Type,"Floor Mat",,100,shopify,50,deny,manual,26.22,39.6,TRUE,TRUE,,http://img5a.flixcart.com/image/car-mat/g/9/p/3a114-1-verna-3a-autocare-verna-1100x1100-imae9zygzqpjhhgx.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
goodwill-impex-women-s-printed-casual-shirt,"Goodwill Impex Women's Printed Casual Shirt","Goodwill Impex Women's Printed Casual Shirt                         Price: CAD $21.12       Goodwill presents an exclusive and stylish range of apparels that compliments your style and fashion sense. Featuring a smart roll-up sleeve pink colored cotton shirt with casual and pretty striped pattern that makes it a perfect formal pick. Walk in style with the your best look forward, style with your favorite pair of jeans and a little accessory and you are good to go!Goodwill presents an exclusive and stylish range of apparels that compliments your style and fashion sense. Featuring a smart roll-up sleeve pink colored cotton shirt with casual and pretty striped pattern that makes it a perfect formal pick. Walk in style with the your best look forward, style with your favorite pair of jeans and a little accessory and you are good to go!","Regular","Clothing","Clothing",TRUE,Fit,"Regular",Number of Contents in Sales Package,"Pack of 1",Pattern,"Printed",,100,shopify,50,deny,manual,8.78,21.12,TRUE,TRUE,,http://img5a.flixcart.com/image/shirt/c/y/h/gw-577-goodwill-impex-xs-original-imaecrhzyuszenvw.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
huawei-ws331c-300-mbps-wireless-range-extender,"Huawei WS331c -300 Mbps Wireless Range Extender","Buy Huawei WS331c -300 Mbps Wireless Range Extender only for CAD $39.60 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!","Huawei","Computers","Computers",TRUE,Color,"White",Type,"Wireless Without modem",,,,100,shopify,50,deny,manual,28.78,39.6,TRUE,TRUE,,http://img5a.flixcart.com/image/router/c/q/k/huawei-ws331c-original-imaefs56sc5hwvah.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
kalash-kadhai-3-5-l,"Kalash Kadhai 3.5 L","Buy Kalash Kadhai 3.5 L for CAD $20.33 online. Kalash Kadhai 3.5 L at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.","Kalash","Kitchen & Dining","Kitchen & Dining",TRUE,Color,"Silver",Material,"Stainless Steel",Type,"Kadhai",,100,shopify,50,deny,manual,9.66,20.33,TRUE,TRUE,,http://img5a.flixcart.com/image/pot-pan/6/x/a/copper-kadai-13-kalash-1100x1100-imae63yyjpazjuks.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
our-rituals-cdmp26-women-s-tube-bra,"Our Rituals CDMP26 Women's Tube Bra","Our Rituals CDMP26 Women's Tube Bra - Buy Majenta, Purple Our Rituals CDMP26 Women's Tube Bra For Only CAD $10.56 Online in Canada. Shop Online For Apparels. Huge Collection of Branded Clothes Only at bundl.it","Majenta","Clothing","Clothing",TRUE,Number of Contents in Sales Package,"Pack of 2",Pattern,"Solid",color,"Red, Purple",,100,shopify,50,deny,manual,4.75,10.56,TRUE,TRUE,,http://img5a.flixcart.com/image/bra/b/z/u/comtbramp26-our-rituals-free-original-imaeaqvurhdghnzn.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
wow-resin-necklace,"Wow Resin Necklace","Wow Resin Necklace - Buy Wow Resin Necklace only for CAD $7.02 from bundl.it. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!","Wow","Jewellery","Jewellery",TRUE,Color,"Multicolor",Type,"Necklace",,,,100,shopify,50,deny,manual,5.26,7.02,TRUE,TRUE,,http://img6a.flixcart.com/image/necklace-chain/j/e/t/wn0045-3-wow-necklace-1100x1100-imae8hrrmey8jpgc.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
brandmeup-solid-women-s-straight-kurta,"BrandMeUp Solid Women's Straight Kurta","Key Features of BrandMeUp Solid Women's Straight Kurta Floral Print Straight,Specifications of BrandMeUp Solid Women's Straight Kurta General Details Pattern Solid Ideal For Women's Kurta Details Sleeve Full Sleeves Fabric Rayon Type Straight Neck V Neck Additional Details Style Code Black Tropical Button Down Slit Top","BrandMeUp","Clothing","Clothing",TRUE,Pattern,"Solid",Type,"Straight",,,,100,shopify,50,deny,manual,15.66,21.12,TRUE,TRUE,,http://img6a.flixcart.com/image/kurta/d/v/w/black-tropical-button-down-slit-top-brandmeup-m-original-imaehb9vhehczqkz.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
adroitz-exclusive-barbie-doll-sunshade-curtain-set-2-toyota-liva-sun-shade-etios,"AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Toyota Liva Sun Shade For Toyota Etios Liva","Key Features of AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Toyota Liva Sun Shade For Toyota Etios Liva Easy to install and remove Highly Durable Simple to Use Makes car AC system to be more effective,AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Toyota Liva Sun Shade For Toyota Etios Liva (Side Window) Price: CAD $8.08 AdroitZ presents to you Birbie doll sunshade Protects from scorching sunrays and to protect your privacy from peeping tom and also to keep your Car interior Cool, The shades are such a perfect fit. They perform perfectly, giving you protection from the sun. These sunshades create a mesh layer to stops the heat,allowing the car aircondition system to be more effective. Block uv rays. keeps car cool. easy to install and remove. highly durable. Note this is a universal product .kindly check Your specification before ordering.,Specifications of AdroitZ Exclusive Barbie Doll Sunshade / curtain (set of 2) for Toyota Liva Sun Shade For Toyota Etios Liva (Side Window) General Brand AdroitZ Attachment Mechanism Suction Cup Model Number Exclusive Barbie Doll Sunshade / curtain (set of 2) for Toyota Liva Placement Position Side Window Color Multicolor Dimensions Weight 120 g Height 20 cm Width 25 cm Depth 1 cm In the Box Sales Package 2 Sun Shade Pack of 2","AdroitZ","Automotive","Automotive",TRUE,Color,"Multicolor",Pack of,"2",,,,100,shopify,50,deny,manual,3.5,8.08,TRUE,TRUE,,http://img6a.flixcart.com/image/sun-shade/b/m/d/exclusive-barbie-doll-sunshade-curtain-set-of-2-for-hyundai-i20-1100x1100-imaeg78yzhm2fkuz.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
quenell-girl-s-kurti-legging-set,"Quenell Girl's Kurti and Legging Set","Specifications of Quenell Girl's Kurti and Legging Set Dimensions Length 46 inch General Details Sleeve 3/4th Sleeve Lining Material Cotton Fabric Cotton Type Kurti and Legging Set Pattern Printed Ideal For Girl's Neck Round Neck Fabric Care Hand wash Additional Details 1 Kurti And legging Combo In the Box 1 Kurti, 1 legging","Quenell","Clothing","Clothing",TRUE,Pattern,"Printed",Type,"Kurti and Legging Set",,,,100,shopify,50,deny,manual,13.18,31.66,TRUE,TRUE,,http://img6a.flixcart.com/image/ethnic-set/e/f/w/quenell-qf5024-set-quenell-46-original-imaegb24cmxz9f5x.jpeg,1,,FALSE,,,,,,,,,,,,,,,,,g,,,active
